customer_id,order_date,quantity,unit_price
12415,2011-05-20,80,0
12415,2011-11-03,216,0
12431,2011-11-04,12,0
12437,2011-11-03,1,0
12444,2011-11-18,2,0
12446,2011-10-13,1,0
12457,2011-04-14,1,0
12507,2011-07-28,11,0
12603,2011-11-18,1,0
12647,2010-12-05,1,0
12748,2011-09-27,1,0
13014,2011-11-07,2,0
13081,2011-11-10,20,0
13081,2011-01-06,24,0
13081,2011-11-10,24,0
13081,2011-01-06,24,0
13113,2011-03-30,5,0
13239,2011-03-23,36,0
13256,2011-11-25,12540,0
13985,2011-11-07,1,0
13985,2011-11-07,1,0
14110,2011-11-03,12,0
14410,2011-04-04,2,0
14646,2011-08-26,144,0
14646,2011-08-26,144,0
14646,2011-08-26,192,0
14646,2011-08-26,96,0
14911,2010-12-21,10,0
14911,2011-08-11,240,0
15107,2011-01-13,1,0
15581,2011-08-01,1,0
15602,2011-11-17,4,0
15804,2011-10-06,2,0
16133,2011-09-25,1,0
16406,2011-11-21,1,0
16560,2010-12-16,4,0
16818,2011-07-26,1,0
17560,2011-02-10,16,0
17667,2011-05-12,4,0
18059,2011-10-26,5,0
13263,2011-04-04,1,2
13708,2011-03-13,1,2
15482,2010-12-16,6,2
15482,2010-12-16,6,2
16049,2011-09-25,1,2
17858,2011-08-12,10,2
17955,2011-05-04,2,2
12347,2011-10-31,8,2.25
12347,2011-08-02,6,2.25
12347,2011-04-07,8,2.25
12359,2011-06-03,8,2.25
12359,2011-06-03,8,2.25
12359,2011-06-03,8,2.25
12360,2011-08-19,6,2.25
12360,2011-08-19,6,2.25
12360,2011-08-19,6,2.25
12362,2011-10-26,6,2.25
12362,2011-04-28,6,2.25
12367,2011-12-05,6,2.25
12367,2011-12-05,6,2.25
12372,2011-02-16,6,2.25
12372,2011-02-16,6,2.25
12378,2011-08-02,8,2.25
12378,2011-08-02,8,2.25
12378,2011-08-02,8,2.25
12378,2011-08-02,8,2.25
12380,2011-06-07,6,2.25
12393,2011-01-11,12,2.25
12393,2011-01-11,12,2.25
12393,2011-01-11,6,2.25
12393,2011-09-28,6,2.25
12405,2011-07-14,11,2.25
12408,2011-03-24,8,2.25
12408,2011-03-24,8,2.25
12415,2011-08-18,216,2.25
12417,2011-01-25,6,2.25
12428,2011-03-01,6,2.25
12428,2011-07-05,6,2.25
12437,2011-11-30,6,2.25
12438,2011-07-22,6,2.25
12444,2011-09-15,8,2.25
12446,2011-10-13,6,2.25
12449,2011-06-05,8,2.25
12451,2011-05-05,8,2.25
12451,2011-05-05,12,2.25
12453,2011-07-28,6,2.25
12453,2011-07-28,6,2.25
12463,2011-04-12,6,2.25
12463,2011-04-12,8,2.25
12471,2010-12-10,24,2.25
12471,2010-12-10,18,2.25
12471,2011-03-18,8,2.25
12471,2010-12-20,-1,2.25
12471,2010-12-17,12,2.25
12471,2011-04-04,6,2.25
12471,2011-03-18,6,2.25
12471,2010-12-20,-2,2.25
12471,2010-12-17,12,2.25
12471,2011-05-13,8,2.25
12473,2011-10-17,6,2.25
12473,2011-10-17,6,2.25
12474,2011-03-24,-2,2.25
12474,2011-03-24,-3,2.25
12474,2011-03-18,8,2.25
12474,2011-03-18,8,2.25
12476,2011-04-19,8,2.25
12480,2011-03-17,6,2.25
12480,2011-03-17,6,2.25
12480,2011-01-07,12,2.25
12480,2011-01-07,12,2.25
12480,2011-03-17,6,2.25
12480,2011-01-07,12,2.25
12489,2011-01-07,6,2.25
12492,2011-08-26,6,2.25
12502,2011-03-16,6,2.25
12514,2011-03-17,8,2.25
12514,2011-03-17,8,2.25
12514,2011-03-17,8,2.25
12514,2011-03-17,8,2.25
12517,2011-06-02,6,2.25
12523,2011-08-21,8,2.25
12524,2011-05-19,12,2.25
12524,2011-11-30,12,2.25
12524,2011-06-30,6,2.25
12524,2011-06-30,6,2.25
12524,2011-06-30,12,2.25
12524,2011-06-30,6,2.25
12534,2011-08-01,6,2.25
12534,2011-08-01,6,2.25
12536,2011-10-11,8,2.25
12536,2011-10-11,8,2.25
12536,2011-10-11,6,2.25
12536,2011-10-11,6,2.25
12546,2011-10-24,6,2.25
12546,2011-10-24,6,2.25
12556,2011-10-20,1,2.25
12556,2011-10-20,1,2.25
12556,2011-10-20,2,2.25
12562,2011-08-05,8,2.25
12567,2011-11-17,8,2.25
12567,2011-09-04,8,2.25
12567,2011-11-17,8,2.25
12567,2011-09-04,8,2.25
12569,2011-09-06,6,2.25
12569,2011-04-14,6,2.25
12569,2011-06-09,6,2.25
